Зачёт,№ этапа,Этап,Группа,Бой,Участник,Место,IDteam,Название,Город,Организация,Очки
Общий,1,"Брейн-ринг, отборочные игры",,1,new_next-01-2002,2,,Новый NEXT,Иркутск,школа №35,0
Общий,1,"Брейн-ринг, отборочные игры",,1,ok-01-2002,2,,OK,Иркутск,школа №49,0
Общий,1,"Брейн-ринг, отборочные игры",,2,status-01-2002,2,,Статус,Иркутск,школа №11,
Общий,1,"Брейн-ринг, отборочные игры",,2,surprise-01-2002,2,,Сюрприз,Иркутск,школа №22,
Общий,1,"Брейн-ринг, отборочные игры",,3,mind_attack-01-2002,2,,Мозговая атака,Иркутск,ВСИЭП,0
Общий,1,"Брейн-ринг, отборочные игры",,3,clevers-01-2002,1,,Клэвэры,Иркутск,БГУЭП,4
Общий,1,"Брейн-ринг, отборочные игры",,4,school17-01-2002,2,,Школа №17,Иркутск,школа №17,0
Общий,1,"Брейн-ринг, отборочные игры",,4,futushel-01-2002,2,,БудуШел,Шелехов,школа №4,0
Общий,1,"Брейн-ринг, отборочные игры",,5,irk_gymnasium_students-01-2002,2,,Иркутские гимназисты,Иркутск,гимназия №3,1
Общий,1,"Брейн-ринг, отборочные игры",,5,boomerang-01-2002,1,,Бумеранг,Иркутск,школа №6,3
Общий,1,"Брейн-ринг, отборочные игры",,6,adrenalin-01-2002,1,,Адреналин,Иркутск,БГУЭП,3
Общий,1,"Брейн-ринг, отборочные игры",,6,fsn_world-01-2002,2,,Мир ФСН,Иркутск,,0
Общий,1,"Брейн-ринг, отборочные игры",,7,intellect-01-2002,1,,Интеллект,Тайшет,,3
Общий,1,"Брейн-ринг, отборочные игры",,7,next-01-2002,2,,NEXT,Иркутск,школа №11,0
Общий,1,"Брейн-ринг, отборочные игры",,8,gimli-01-2002,2,,Гимли,Иркутск,гимназия №1,0
Общий,1,"Брейн-ринг, отборочные игры",,8,6com-01-2002,2,,6.com,Иркутск,школа №26,3
Общий,1,"Брейн-ринг, отборочные игры",,9,911-01-2002,2,5042,9-1-1,Иркутск,,1
Общий,1,"Брейн-ринг, отборочные игры",,9,ilic_children-01-2002,1,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,4
Общий,1,"Брейн-ринг, отборочные игры",,10,driver-01-2002,1,2069,Драйвер,Иркутск,ФЭК БГУЭП,3
Общий,1,"Брейн-ринг, отборочные игры",,10,nica-01-2002,2,,Ника,Иркутск,,2
Общий,1,"Брейн-ринг, отборочные игры",,11,friendship_irk-01-2002,2,,Дружба,Иркутск,гимназия №2,0
Общий,1,"Брейн-ринг, отборочные игры",,11,nica62-01-2002,2,,Ника,Иркутск,школа №62,0
Общий,1,"Брейн-ринг, отборочные игры",,12,new_century-01-2002,1,2836,Новый век,Иркутск,школа №11,4
Общий,1,"Брейн-ринг, отборочные игры",,12,licon-01-2002,2,,Ликон,Усолье-Сибирское,лицей№1,0
Общий,1,"Брейн-ринг, отборочные игры",,13,credo-01-2002,2,,Кредо,Иркутск,школа №11,0
Общий,1,"Брейн-ринг, отборочные игры",,13,brain_scholars-01-2002,2,,Мозговеды,Иркутск,Лицей№3,0
Общий,1,"Брейн-ринг, отборочные игры",,14,fort_ross-01-2002,1,2191,Форт-Росс,Иркутск,ИГУ,2
Общий,1,"Брейн-ринг, отборочные игры",,14,isu_ji-01-2002,2,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,1
Общий,1,"Брейн-ринг, отборочные игры",,15,lingua-01-2002,2,,Лингва,Иркутск,ИГЛУ,0
Общий,1,"Брейн-ринг, отборочные игры",,15,sufis-01-2002,2,2984,Суфии,Иркутск,ИФ РГЭУ,3
Общий,1,"Брейн-ринг, отборочные игры",,16,gmp-01-2002,2,,ГМП,Иркутск,Городской молодёжный парламент,0
Общий,1,"Брейн-ринг, отборочные игры",,16,compoot-01-2002,2,,КоМПООТ,Иркутск,БГУЭП,0
Общий,2,"Брейн-ринг, второй тур",,1,clevers-01-2002,2,,Клэвэры,Иркутск,БГУЭП,0
Общий,2,"Брейн-ринг, второй тур",,1,antanta-01-2002,2,,Антанта,Иркутск,,0
Общий,2,"Брейн-ринг, второй тур",,2,boomerang-01-2002,2,,Бумеранг,Иркутск,школа №6,0
Общий,2,"Брейн-ринг, второй тур",,2,intellect-01-2002,2,,Интеллект,Тайшет,,1
Общий,2,"Брейн-ринг, второй тур",,3,6com-01-2002,2,,6.com,Иркутск,школа №26,0
Общий,2,"Брейн-ринг, второй тур",,3,new_century-01-2002,2,2836,Новый век,Иркутск,школа №11,0
Общий,2,"Брейн-ринг, второй тур",,4,ilic_children-01-2002,1,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,3
Общий,2,"Брейн-ринг, второй тур",,4,sufis-01-2002,2,2984,Суфии,Иркутск,ИФ РГЭУ,0
Общий,2,"Брейн-ринг, второй тур",,5,driver-01-2002,1,2069,Драйвер,Иркутск,ФЭК БГУЭП,4
Общий,2,"Брейн-ринг, второй тур",,5,adrenalin-01-2002,2,,Адреналин,Иркутск,БГУЭП,1
Общий,3,"Брейн-ринг, финал",,,driver-01-2002,1,2069,Драйвер,Иркутск,ФЭК БГУЭП,7
Общий,3,"Брейн-ринг, финал",,,ilic_children-01-2002,2,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,1
