Зачёт,Конкурс,Участник,IDteam,Название,Город,Организация ,Очки
Общий,100 вопросов,911-01-2002,5042,9-1-1,Иркутск,школа №26,119
Общий,Крестословица,911-01-2002,5042,9-1-1,Иркутск,школа №26,374
Общий,Игра слов,911-01-2002,5042,9-1-1,Иркутск,школа №26,7
Общий,Эврика,911-01-2002,5042,9-1-1,Иркутск,школа №26,80
Общий,100 вопросов,6com-01-2002,,6.com,Иркутск,школа №26,118
Общий,Крестословица,6com-01-2002,,6.com,Иркутск,школа №26,160
Общий,Игра слов,6com-01-2002,,6.com,Иркутск,школа №26,92
Общий,Эврика,6com-01-2002,,6.com,Иркутск,школа №26,0
Общий,100 вопросов,adrenalin-01-2002,,Адреналин,Иркутск,БГУЭП,134
Общий,Крестословица,adrenalin-01-2002,,Адреналин,Иркутск,БГУЭП,198
Общий,Игра слов,adrenalin-01-2002,,Адреналин,Иркутск,БГУЭП,64
Общий,Эврика,adrenalin-01-2002,,Адреналин,Иркутск,БГУЭП,35
Общий,100 вопросов,antanta-01-2002,,Антанта,Иркутск,гимназия №1,200
Общий,Крестословица,antanta-01-2002,,Антанта,Иркутск,гимназия №1,172
Общий,Игра слов,antanta-01-2002,,Антанта,Иркутск,гимназия №1,75
Общий,Эврика,antanta-01-2002,,Антанта,Иркутск,гимназия №1,65
Общий,100 вопросов,futushel-01-2002,,БудуШел,Шелехов,школа №4,69
Общий,Крестословица,futushel-01-2002,,БудуШел,Шелехов,школа №4,70
Общий,Игра слов,futushel-01-2002,,БудуШел,Шелехов,школа №4,57
Общий,Эврика,futushel-01-2002,,БудуШел,Шелехов,школа №4,0
Общий,100 вопросов,gimli-01-2002,,Гимли,Иркутск,гимназия №1,230
Общий,Крестословица,gimli-01-2002,,Гимли,Иркутск,гимназия №1,200
Общий,Игра слов,gimli-01-2002,,Гимли,Иркутск,гимназия №1,84
Общий,Эврика,gimli-01-2002,,Гимли,Иркутск,гимназия №1,20
Общий,100 вопросов,gmp-01-2002,,ГМП,Иркутск,Городской молодёжный парламент,71
Общий,Крестословица,gmp-01-2002,,ГМП,Иркутск,Городской молодёжный парламент,110
Общий,Игра слов,gmp-01-2002,,ГМП,Иркутск,Городской молодёжный парламент,46
Общий,Эврика,gmp-01-2002,,ГМП,Иркутск,Городской молодёжный парламент,90
Общий,100 вопросов,ilic_children-01-2002,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,285
Общий,Крестословица,ilic_children-01-2002,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,100
Общий,Игра слов,ilic_children-01-2002,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,80
Общий,Эврика,ilic_children-01-2002,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,90
Общий,100 вопросов,driver-01-2002,2069,Драйвер,Иркутск,ФЭК БГУЭП,138
Общий,Крестословица,driver-01-2002,2069,Драйвер,Иркутск,ФЭК БГУЭП,162
Общий,Игра слов,driver-01-2002,2069,Драйвер,Иркутск,ФЭК БГУЭП,34
Общий,Эврика,driver-01-2002,2069,Драйвер,Иркутск,ФЭК БГУЭП,140
Общий,100 вопросов,friendship_irk-01-2002,,Дружба,Иркутск,гимназия №2,64
Общий,Крестословица,friendship_irk-01-2002,,Дружба,Иркутск,гимназия №2,166
Общий,Игра слов,friendship_irk-01-2002,,Дружба,Иркутск,гимназия №2,28
Общий,Эврика,friendship_irk-01-2002,,Дружба,Иркутск,гимназия №2,0
Общий,100 вопросов,intellect-01-2002,,Интеллект,Тайшет,школа №11,208
Общий,Крестословица,intellect-01-2002,,Интеллект,Тайшет,школа №11,138
Общий,Игра слов,intellect-01-2002,,Интеллект,Тайшет,школа №11,40
Общий,Эврика,intellect-01-2002,,Интеллект,Тайшет,школа №11,40
Общий,100 вопросов,irk_gymnasium_students-01-2002,,Иркутские гимназисты,Иркутск,гимназия №3,113
Общий,Крестословица,irk_gymnasium_students-01-2002,,Иркутские гимназисты,Иркутск,гимназия №3,220
Общий,Игра слов,irk_gymnasium_students-01-2002,,Иркутские гимназисты,Иркутск,гимназия №3,25
Общий,Эврика,irk_gymnasium_students-01-2002,,Иркутские гимназисты,Иркутск,гимназия №3,10
Общий,100 вопросов,clevers-01-2002,,Клэвэры,Иркутск,БГУЭП,311
Общий,Крестословица,clevers-01-2002,,Клэвэры,Иркутск,БГУЭП,268
Общий,Игра слов,clevers-01-2002,,Клэвэры,Иркутск,БГУЭП,41
Общий,Эврика,clevers-01-2002,,Клэвэры,Иркутск,БГУЭП,20
Общий,100 вопросов,credo-01-2002,,Кредо,Иркутск,школа №11,125
Общий,Крестословица,credo-01-2002,,Кредо,Иркутск,школа №11,101
Общий,Игра слов,credo-01-2002,,Кредо,Иркутск,школа №11,44
Общий,Эврика,credo-01-2002,,Кредо,Иркутск,школа №11,20
Общий,100 вопросов,licon-01-2002,,Ликон,Усолье-Сибирское,лицей№1,210
Общий,Крестословица,licon-01-2002,,Ликон,Усолье-Сибирское,лицей№1,98
Общий,Игра слов,licon-01-2002,,Ликон,Усолье-Сибирское,лицей№1,84
Общий,Эврика,licon-01-2002,,Ликон,Усолье-Сибирское,лицей№1,35
Общий,100 вопросов,lingua-01-2002,,Лингва,Иркутск,ИГЛУ,362
Общий,Крестословица,lingua-01-2002,,Лингва,Иркутск,ИГЛУ,248
Общий,Игра слов,lingua-01-2002,,Лингва,Иркутск,ИГЛУ,130
Общий,Эврика,lingua-01-2002,,Лингва,Иркутск,ИГЛУ,60
Общий,100 вопросов,mind_attack-01-2002,,Мозговая атака,Иркутск,ВСИЭП,215
Общий,Крестословица,mind_attack-01-2002,,Мозговая атака,Иркутск,ВСИЭП,184
Общий,Игра слов,mind_attack-01-2002,,Мозговая атака,Иркутск,ВСИЭП,70
Общий,Эврика,mind_attack-01-2002,,Мозговая атака,Иркутск,ВСИЭП,60
Общий,100 вопросов,brain_scholars-01-2002,,Мозговеды,Иркутск,Лицей№3,187
Общий,Крестословица,brain_scholars-01-2002,,Мозговеды,Иркутск,Лицей№3,104
Общий,Игра слов,brain_scholars-01-2002,,Мозговеды,Иркутск,Лицей№3,42
Общий,Эврика,brain_scholars-01-2002,,Мозговеды,Иркутск,Лицей№3,30
Общий,100 вопросов,nica62-01-2002,,Ника,Иркутск,школа №62,93
Общий,Крестословица,nica62-01-2002,,Ника,Иркутск,школа №62,210
Общий,Игра слов,nica62-01-2002,,Ника,Иркутск,школа №62,24
Общий,Эврика,nica62-01-2002,,Ника,Иркутск,школа №62,0
Общий,100 вопросов,nica-01-2002,,Ника,Иркутск,,350
Общий,Крестословица,nica-01-2002,,Ника,Иркутск,,100
Общий,Игра слов,nica-01-2002,,Ника,Иркутск,,30
Общий,Эврика,nica-01-2002,,Ника,Иркутск,,70
Общий,100 вопросов,new_century-01-2002,2836,Новый век,Иркутск,школа №11,219
Общий,Крестословица,new_century-01-2002,2836,Новый век,Иркутск,школа №11,138
Общий,Игра слов,new_century-01-2002,2836,Новый век,Иркутск,школа №11,39
Общий,Эврика,new_century-01-2002,2836,Новый век,Иркутск,школа №11,30
Общий,100 вопросов,new_next-01-2002,,Новый NEXT,Иркутск,школа №35,10
Общий,Крестословица,new_next-01-2002,,Новый NEXT,Иркутск,школа №35,0
Общий,Игра слов,new_next-01-2002,,Новый NEXT,Иркутск,школа №35,70
Общий,Эврика,new_next-01-2002,,Новый NEXT,Иркутск,школа №35,0
Общий,100 вопросов,status-01-2002,,Статус,Иркутск,школа №11,212
Общий,Крестословица,status-01-2002,,Статус,Иркутск,школа №11,62
Общий,Игра слов,status-01-2002,,Статус,Иркутск,школа №11,12
Общий,Эврика,status-01-2002,,Статус,Иркутск,школа №11,0
Общий,100 вопросов,sufis-01-2002,2984,Суфии,Иркутск,ИФ РГЭУ,380
Общий,Крестословица,sufis-01-2002,2984,Суфии,Иркутск,ИФ РГЭУ,84
Общий,Игра слов,sufis-01-2002,2984,Суфии,Иркутск,ИФ РГЭУ,42
Общий,Эврика,sufis-01-2002,2984,Суфии,Иркутск,ИФ РГЭУ,0
Общий,100 вопросов,surprise-01-2002,,Сюрприз,Иркутск,школа №22,3
Общий,Крестословица,surprise-01-2002,,Сюрприз,Иркутск,школа №22,94
Общий,Игра слов,surprise-01-2002,,Сюрприз,Иркутск,школа №22,64
Общий,Эврика,surprise-01-2002,,Сюрприз,Иркутск,школа №22,25
Общий,100 вопросов,fort_ross-01-2002,2191,Форт-Росс,Иркутск,ИГУ,312
Общий,Крестословица,fort_ross-01-2002,2191,Форт-Росс,Иркутск,ИГУ,266
Общий,Игра слов,fort_ross-01-2002,2191,Форт-Росс,Иркутск,ИГУ,54
Общий,Эврика,fort_ross-01-2002,2191,Форт-Росс,Иркутск,ИГУ,40
Общий,100 вопросов,school17-01-2002,,Школа №17,Иркутск,школа №17,55
Общий,Крестословица,school17-01-2002,,Школа №17,Иркутск,школа №17,216
Общий,Игра слов,school17-01-2002,,Школа №17,Иркутск,школа №17,46
Общий,Эврика,school17-01-2002,,Школа №17,Иркутск,школа №17,5
Общий,100 вопросов,boomerang-01-2002,,Бумеранг,Иркутск,школа №6,168
Общий,Крестословица,boomerang-01-2002,,Бумеранг,Иркутск,школа №6,90
Общий,Игра слов,boomerang-01-2002,,Бумеранг,Иркутск,школа №6,0
Общий,Эврика,boomerang-01-2002,,Бумеранг,Иркутск,школа №6,5
Общий,100 вопросов,isu_ji-01-2002,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,189
Общий,Крестословица,isu_ji-01-2002,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,294
Общий,Игра слов,isu_ji-01-2002,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,37
Общий,Эврика,isu_ji-01-2002,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,5
Общий,100 вопросов,next-01-2002,,NEXT,Иркутск,школа №11,254
Общий,Крестословица,next-01-2002,,NEXT,Иркутск,школа №11,246
Общий,Игра слов,next-01-2002,,NEXT,Иркутск,школа №11,0
Общий,Эврика,next-01-2002,,NEXT,Иркутск,школа №11,0
Общий,100 вопросов,ok-01-2002,,OK,Иркутск,школа №49,52
Общий,Крестословица,ok-01-2002,,OK,Иркутск,школа №49,54
Общий,Игра слов,ok-01-2002,,OK,Иркутск,школа №49,29
Общий,Эврика,ok-01-2002,,OK,Иркутск,школа №49,0
