Зачёт,Конкурс,Участник,IDteam,Название,Город,Организация ,Игрок,Очки
Школьный,,Иркутские гимназисты-03-2004,,Иркутские гимназисты,Иркутск,гимназия №3,1,24
Школьный,,Сократ-03-2004,,Сократ,Иркутск,гимназия №44,1,17
Школьный,,Тяжёлый случай-03-2004,,Тяжёлый случай,Иркутск,лицей №2,1,19
Школьный,,IQ-03-2004,,IQ,Иркутск,лицей №2,1,17
Школьный,,Ума.НЕТ-03-2004,,Ума.НЕТ,Иркутск,православная женская гимназия,1,17
Школьный,,Гротеск-03-2004,,Гротеск,Иркутск,школа №11,1,22
Школьный,,Юная золотая молодёжь-03-2004,,Юная золотая молодёжь,Иркутск,БКПП,1,20
Школьный,,Перекрёсток-03-2004,,Перекрёсток,Иркутск,школа №26,1,22
Школьный,,Улетевшие-03-2004,,Улетевшие,Иркутск,Иркутский авиационный техникум,1,14
Школьный,,65.ру-03-2004,,65.ру,Иркутск,школа №65,1,19
Школьный,,Симпомпули-03-2004,,Симпомпули,Иркутск,школа №26,1,20
Школьный,,LIM-03-2004,,LIM,Иркутск,лицей №2,1,15
Школьный,,СНГ-03-2004,,СНГ,Иркутск,гимназия №25,1,17
Школьный,,Кредо-03-2004,,Кредо,Иркутск,школа №11,1,20
Школьный,,Империя знаний-03-2004,,Империя знаний,Иркутск,лицей №2,1,13
Школьный,,Статус-03-2004,,Статус,Иркутск,школа №11,1,16
Школьный,,Знатоки-03-2004,,Знатоки,Иркутск,школа №10,1,19
Школьный,,Антиинтеллект-03-2004,,Антиинтеллект,Иркутск,школа №17,1,15
Школьный,,Виктория-03-2004,,Виктория,Иркутск,школа №66,1,11
Школьный,,OK-03-2004,,OK,Иркутск,школа №49,1,14
Школьный,,Баунти-03-2004,,Баунти,Иркутск,школа №66,1,7
Студенческий,,Арзамас-2004-03-2004,,Арзамас-2004,Иркутск,ИГУ,1,33
Студенческий,,Форт-Росс-03-2004,,Форт-Росс,Иркутск,ИГУ,1,33
Студенческий,,Геродот-03-2004,,Геродот,Иркутск,ИГУ,1,28
Студенческий,,ЮИ ИГУ-03-2004,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,1,30
Студенческий,,911-03-2004,,911,Иркутск,,1,30
Студенческий,,Драйвер-03-2004,,Драйвер,Иркутск,БГУЭП,1,25
Студенческий,,Золотая молодёжь-03-2004,,Золотая молодёжь,Иркутск,БГИ,1,20
Студенческий,,Суфии-03-2004,,Суфии,Иркутск,ИФ РГТЭУ,1,17
Студенческий,,Новый век-03-2004,,Новый век,Иркутск,,1,23
Студенческий,,ГМП-03-2004,,ГМП,Иркутск,,1,19
Студенческий,,Бизнес-лидер-03-2004,,Бизнес-лидер,Иркутск,ИрГУПС,1,19
Студенческий,,Парабеллум-03-2004,,Парабеллум,Иркутск,ИГУ,1,20
Студенческий,,Птица говорун-03-2004,,Птица говорун,Иркутск,БГУЭП,1,14
Студенческий,,Международный факультет ИГУ-03-2004,,Международный факультет ИГУ,Иркутск,Международный факультет ИГУ,1,15
Школьный,,Иркутские гимназисты-03-2004,,Иркутские гимназисты,Иркутск,гимназия №3,2,24
Школьный,,Сократ-03-2004,,Сократ,Иркутск,гимназия №44,2,14
Школьный,,Тяжёлый случай-03-2004,,Тяжёлый случай,Иркутск,лицей №2,2,19
Школьный,,IQ-03-2004,,IQ,Иркутск,лицей №2,2,17
Школьный,,Ума.НЕТ-03-2004,,Ума.НЕТ,Иркутск,православная женская гимназия,2,16
Школьный,,Гротеск-03-2004,,Гротеск,Иркутск,школа №11,2,19
Школьный,,Юная золотая молодёжь-03-2004,,Юная золотая молодёжь,Иркутск,БКПП,2,19
Школьный,,Перекрёсток-03-2004,,Перекрёсток,Иркутск,школа №26,2,23
Школьный,,Улетевшие-03-2004,,Улетевшие,Иркутск,Иркутский авиационный техникум,2,13
Школьный,,65.ру-03-2004,,65.ру,Иркутск,школа №65,2,17
Школьный,,Симпомпули-03-2004,,Симпомпули,Иркутск,школа №26,2,17
Школьный,,LIM-03-2004,,LIM,Иркутск,лицей №2,2,19
Школьный,,СНГ-03-2004,,СНГ,Иркутск,гимназия №25,2,14
Школьный,,Кредо-03-2004,,Кредо,Иркутск,школа №11,2,20
Школьный,,Империя знаний-03-2004,,Империя знаний,Иркутск,лицей №2,2,14
Школьный,,Статус-03-2004,,Статус,Иркутск,школа №11,2,16
Школьный,,Знатоки-03-2004,,Знатоки,Иркутск,школа №10,2,21
Школьный,,Антиинтеллект-03-2004,,Антиинтеллект,Иркутск,школа №17,2,10
Школьный,,Виктория-03-2004,,Виктория,Иркутск,школа №66,2,11
Школьный,,OK-03-2004,,OK,Иркутск,школа №49,2,12
Школьный,,Баунти-03-2004,,Баунти,Иркутск,школа №66,2,7
Студенческий,,Арзамас-2005-03-2004,,Арзамас-2005,Иркутск,ИГУ,2,34
Студенческий,,Форт-Росс-03-2004,,Форт-Росс,Иркутск,ИГУ,2,37
Студенческий,,Геродот-03-2004,,Геродот,Иркутск,ИГУ,2,31
Студенческий,,ЮИ ИГУ-03-2004,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,2,36
Студенческий,,911-03-2004,,911,Иркутск,,2,36
Студенческий,,Драйвер-03-2004,,Драйвер,Иркутск,БГУЭП,2,24
Студенческий,,Золотая молодёжь-03-2004,,Золотая молодёжь,Иркутск,БГИ,2,20
Студенческий,,Суфии-03-2004,,Суфии,Иркутск,ИФ РГТЭУ,2,22
Студенческий,,Новый век-03-2004,,Новый век,Иркутск,,2,22
Студенческий,,ГМП-03-2004,,ГМП,Иркутск,,2,22
Студенческий,,Бизнес-лидер-03-2004,,Бизнес-лидер,Иркутск,ИрГУПС,2,21
Студенческий,,Парабеллум-03-2004,,Парабеллум,Иркутск,ИГУ,2,27
