Место,№,Команда,Зачёт,Итого,Итого рейтинг,1 тур ,1 тур рейтинг,2 тур ,2 тур рейтинг,3 тур ,3 тур рейтинг,1 день,4 тур ,4 тур рейтинг,,5 тур ,5 тур рейтинг,,6 тур ,6 тур рейтинг,
1.,66,Тридцатиногая сороконожка,Общий,52,324,10,62,11,49,11,53,32,8,61,40,8,60,48,4,39,52
2.,65,Триумф мы помним смутно,Общий,47,283,8,43,12,57,10,50,30,9,68,39,5,37,44,3,28,47
12.,4,"Карты, деньги, два Друзя",Студенческий,47,1098,9,210,10,200,11,214,30,6,151,36,7,192,43,4,131,47
13.,42,Пёс Наргос и олимпийский кросс,Студенческий,42,918,10,221,9,170,10,189,29,6,144,35,5,134,40,2,60,42
3.,69,Муза,Общий,42,237,6,33,10,43,10,45,26,5,31,31,6,38,37,5,47,42
14.,32,Большая бАнальная контузия,Студенческий,40,853,8,161,8,151,10,189,26,6,144,32,5,125,37,3,83,40
4.,72,Ибо нефиг,Общий,40,226,8,47,10,41,9,38,27,3,19,30,6,43,36,4,38,40
5.,71,Вам на воротник,Общий,39,213,8,42,9,36,7,25,24,7,51,31,6,41,37,2,18,39
6.,64,Пионеры,Общий,37,198,8,48,10,41,10,46,28,2,14,30,6,41,36,1,8,37
15.,41,V значит Анатолий,Студенческий,35,734,9,191,8,156,9,161,26,4,95,30,4,99,34,1,32,35
7.,67,Brain-Club,Общий,35,193,8,52,9,36,6,21,23,7,49,30,4,24,34,1,11,35
16.,29,"Ковальски, варианты!",Студенческий,33,684,7,149,9,166,8,139,24,3,69,27,4,106,31,2,55,33
8.,70,Арзамас-2004,Общий,32,164,7,41,9,33,7,26,23,3,20,26,5,36,31,1,8,32
9.,74,Приоритет,Общий,32,163,6,29,8,33,10,47,24,4,28,28,2,9,30,2,17,32
17.,33,Неадекватные,Студенческий,31,651,7,154,9,176,5,74,21,4,88,25,3,70,28,3,89,31
42.,6,Протофонарный столб,Школьный,28,580,4,69,6,96,9,176,19,2,54,21,5,132,26,2,53,28
18.,43,ИСН,Студенческий,28,571,6,123,7,129,7,107,20,2,45,22,4,114,26,2,53,28
