Турнир,Дисциплина,Участник,Зачёт,Место,IDteam,Название,Город,Организация,Очки
bfii-01-2002,Абсолютный зачёт,ilic-children-01-2002,Общий,1,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,1835
bfii-01-2002,Абсолютный зачёт,driver-01-2002,Общий,2,2194,Драйвер,Иркутск,БГУЭП,1834
bfii-01-2002,Абсолютный зачёт,fort_ross-01-2002,Общий,3,2191,Форт-Росс,Иркутск,,1572
bfii-01-2002,Абсолютный зачёт,Клэвэры-01-2002,Общий,4,,Клэвэры,Иркутск,БГУЭП,1520
bfii-01-2002,Абсолютный зачёт,Лингва-01-2002,Общий,5,,Лингва,Иркутск,ИГЛУ,1500
bfii-01-2002,Абсолютный зачёт,911-01-2002,Общий,6,5042,9-1-1,Иркутск,,1480
bfii-01-2002,Абсолютный зачёт,Антанта-01-2002,Общий,7,,Антанта,Иркутск,,1392
bfii-01-2002,Абсолютный зачёт,Адреналин-01-2002,Общий,8,,Адреналин,Иркутск,БГУЭП,1311
bfii-01-2002,Абсолютный зачёт,sufis-01-2002,Общий,9,2984,Суфии,Иркутск,ИФ РГЭУ,1306
bfii-01-2002,Абсолютный зачёт,Гимли-01-2002,Общий,10,,Гимли,Иркутск,гимназия №1,1274
bfii-01-2002,Абсолютный зачёт,Ликон-01-2002,Общий,11,,Ликон,Усолье-Сибирское,лицей№1,1267
bfii-01-2002,Абсолютный зачёт,new_century-01-2002,Общий,12,2836,Новый век,Иркутск,школа №11,1266
bfii-01-2002,Абсолютный зачёт,nica-01-2002,Общий,13,,Ника,Иркутск,,1250
bfii-01-2002,Абсолютный зачёт,Интеллект-01-2002,Общий,14,,Интеллект,Тайшет,,1226
bfii-01-2002,Абсолютный зачёт,Мозговая атака-01-2002,Общий,15,,Мозговая атака,Иркутск,ВСИЭП,1069
bfii-01-2002,Абсолютный зачёт,ЮИ ИГУ-01-2002,Общий,16,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,1025
bfii-01-2002,Абсолютный зачёт,NEXT-01-2002,Общий,17,,NEXT,Иркутск,школа №11,1000
bfii-01-2002,Абсолютный зачёт,6.com-01-2002,Общий,18,,6.com,Иркутск,школа №26,970
bfii-01-2002,Абсолютный зачёт,Иркутские гимназисты-01-2002,Общий,19,,Иркутские гимназисты,Иркутск,гимназия №3,868
bfii-01-2002,Абсолютный зачёт,Бумеранг-01-2002,Общий,20,,Бумеранг,Иркутск,школа №6,863
bfii-01-2002,Абсолютный зачёт,Мозгоdеды-01-2002,Общий,21,,Мозгоdеды,Иркутск,Лицей№3,863
bfii-01-2002,Абсолютный зачёт,nica62-01-2002,Общий,22,,Ника,Иркутск,школа №62,827
bfii-01-2002,Абсолютный зачёт,Школа №17-01-2002,Общий,23,,Школа №17,Иркутск,школа №17,822
bfii-01-2002,Абсолютный зачёт,ГМП-01-2002,Общий,24,,ГМП,Иркутск,Городской молодёжный парламент,811
bfii-01-2002,Абсолютный зачёт,Кредо-01-2002,Общий,25,,Кредо,Иркутск,школа №11,790
bfii-01-2002,Абсолютный зачёт,Статус-01-2002,Общий,26,,Статус,Иркутск,школа №11,786
bfii-01-2002,Абсолютный зачёт,Дружба-01-2002,Общий,27,,Дружба,Иркутск,гимназия №2,758
bfii-01-2002,Абсолютный зачёт,БудуШел-01-2002,Общий,28,,БудуШел,Шелехов,школа №4,696
bfii-01-2002,Абсолютный зачёт,Сюрприз-01-2002,Общий,29,,Сюрприз,Иркутск,школа №22,686
bfii-01-2002,Абсолютный зачёт,OK-01-2002,Общий,30,,OK,Иркутск,школа №49,635
bfii-01-2002,Абсолютный зачёт,Новый NEXT-01-2002,Общий,31,,Новый NEXT,Иркутск,школа №35,580
bfii-01-2002,Абсолютный зачёт,КоМПООТ-01-2002,Общий,32,,КоМПООТ,Иркутск,БГУЭП,500
bfii-01-2002,Абсолютный зачёт,Мир ФСН-01-2002,Общий,33,,Мир ФСН,Иркутск,,500
bfii-02-2004,Абсолютный зачёт,911-02-2004,Общий,1,,911,Иркутск,,15
bfii-02-2004,Абсолютный зачёт,fort_ross-02-2004,Общий,2,,Форт-Росс,Иркутск,ИГУ ,8
bfii-02-2004,Абсолютный зачёт,Матрица-02-2004,Общий,"3,5",,Матрица,Иркутск,,7
bfii-02-2004,Абсолютный зачёт,Уникум-Юниор-02-2004,Общий,"3,5",,Уникум-Юниор,Иркутск,ИрГУПС,7
bfii-02-2004,Абсолютный зачёт,Гиганты мысли-02-2004,Общий,6,,Гиганты мысли,Иркутск,,4
bfii-02-2004,Абсолютный зачёт,Сегодня была победа-02-2004,Общий,6,,Сегодня была победа,Иркутск,,4
bfii-02-2004,Абсолютный зачёт,Скептики-02-2004,Общий,6,,Скептики,Иркутск,БГУЭП,4
bfii-02-2004,Абсолютный зачёт,Авангард-02-2004,Общий,"9,5",,Авангард,Иркутск,лицей №3,3
bfii-02-2004,Абсолютный зачёт,Девчонки-хохотушки-02-2004,Общий,"9,5",,Девчушки-хохотушки,Иркутск,Православная женская гимназия,3
bfii-02-2004,Абсолютный зачёт,ilic-children-02-2004,Общий,"9,5",,Дети Ильича,Иркутск,исторический факультет ИГУ,3
